social_preference,alone_time,group_comfort,communication_style,decision_style,personality_type
Prefers solitude,Moderate,Neutral,Thoughtful,Reflective,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Neutral,Thoughtful,Reflective,Introvert
Balanced,High,Uncomfortable,Reserved,Consensus-driven,Introvert
Prefers solitude,Moderate,Neutral,Thoughtful,Consensus-driven,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Reflective,Introvert
Balanced,High,Neutral,Thoughtful,Reflective,Introvert
Prefers solitude,High,Uncomfortable,Thoughtful,Analytical,Introvert
Prefers solitude,High,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Balanced,Moderate,Neutral,Reserved,Analytical,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Consensus-driven,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Analytical,Introvert
Balanced,High,Neutral,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Neutral,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Balanced,High,Neutral,Thoughtful,Analytical,Introvert
Balanced,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Balanced,Moderate,Neutral,Reserved,Consensus-driven,Introvert
Prefers solitude,Moderate,Uncomfortable,Reserved,Analytical,Introvert
Prefers solitude,Moderate,Uncomfortable,Reserved,Consensus-driven,Introvert
Prefers solitude,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Balanced,High,Neutral,Reserved,Consensus-driven,Introvert
Balanced,Moderate,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Balanced,High,Uncomfortable,Reserved,Reflective,Introvert
Balanced,High,Neutral,Thoughtful,Reflective,Introvert
Prefers solitude,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Balanced,High,Neutral,Reserved,Analytical,Introvert
Prefers solitude,Moderate,Neutral,Thoughtful,Consensus-driven,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Analytical,Introvert
Balanced,Moderate,Neutral,Thoughtful,Analytical,Introvert
Balanced,Moderate,Neutral,Reserved,Analytical,Introvert
Prefers solitude,Moderate,Neutral,Reserved,Reflective,Introvert
Balanced,Moderate,Neutral,Reserved,Reflective,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Consensus-driven,Introvert
Balanced,High,Neutral,Thoughtful,Analytical,Introvert
Balanced,Moderate,Neutral,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Uncomfortable,Reserved,Analytical,Introvert
Balanced,High,Neutral,Thoughtful,Consensus-driven,Introvert
Balanced,Moderate,Neutral,Reserved,Reflective,Introvert
Balanced,Moderate,Uncomfortable,Reserved,Reflective,Introvert
Prefers solitude,Moderate,Neutral,Reserved,Reflective,Introvert
Balanced,High,Neutral,Thoughtful,Analytical,Introvert
Prefers solitude,Moderate,Neutral,Reserved,Reflective,Introvert
Balanced,Moderate,Neutral,Reserved,Consensus-driven,Introvert
Prefers solitude,High,Neutral,Thoughtful,Reflective,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Analytical,Introvert
Balanced,High,Uncomfortable,Reserved,Reflective,Introvert
Balanced,High,Uncomfortable,Thoughtful,Analytical,Introvert
Prefers solitude,High,Uncomfortable,Thoughtful,Analytical,Introvert
Prefers solitude,High,Neutral,Reserved,Reflective,Introvert
Balanced,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Prefers solitude,High,Neutral,Thoughtful,Consensus-driven,Introvert
Prefers solitude,High,Neutral,Reserved,Reflective,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Reflective,Introvert
Balanced,Moderate,Neutral,Reserved,Consensus-driven,Introvert
Balanced,High,Neutral,Reserved,Consensus-driven,Introvert
Balanced,Moderate,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Prefers solitude,Moderate,Neutral,Thoughtful,Analytical,Introvert
Balanced,High,Neutral,Thoughtful,Consensus-driven,Introvert
Prefers solitude,High,Neutral,Reserved,Consensus-driven,Introvert
Balanced,High,Neutral,Thoughtful,Reflective,Introvert
Balanced,Moderate,Neutral,Thoughtful,Analytical,Introvert
Balanced,High,Neutral,Reserved,Consensus-driven,Introvert
Balanced,Moderate,Neutral,Reserved,Analytical,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Consensus-driven,Introvert
Balanced,Moderate,Neutral,Thoughtful,Reflective,Introvert
Prefers solitude,Moderate,Uncomfortable,Thoughtful,Analytical,Introvert
Prefers solitude,High,Uncomfortable,Reserved,Consensus-driven,Introvert
Balanced,High,Uncomfortable,Thoughtful,Consensus-driven,Introvert
Prefers solitude,High,Neutral,Reserved,Reflective,Introvert
Balanced,High,Comfortable,Expressive,Impulsive,Ambivert
Prefers solitude,High,Neutral,Direct,Reflective,Ambivert
Balanced,Moderate,Neutral,Thoughtful,Reflective,Ambivert
Prefers solitude,High,Uncomfortable,Reserved,Impulsive,Ambivert
Balanced,High,Neutral,Expressive,Analytical,Ambivert
Balanced,Moderate,Uncomfortable,Thoughtful,Reflective,Ambivert
Balanced,High,Comfortable,Reserved,Consensus-driven,Ambivert
Balanced,High,Comfortable,Expressive,Impulsive,Ambivert
Prefers groups,High,Comfortable,Thoughtful,Consensus-driven,Ambivert
Prefers groups,High,Neutral,Direct,Consensus-driven,Ambivert
Prefers groups,Low,Uncomfortable,Thoughtful,Reflective,Ambivert
Prefers groups,Low,Comfortable,Direct,Consensus-driven,Ambivert
Prefers groups,Moderate,Neutral,Reserved,Reflective,Ambivert
Prefers solitude,Moderate,Neutral,Expressive,Consensus-driven,Ambivert
Prefers groups,Moderate,Uncomfortable,Reserved,Impulsive,Ambivert
Prefers solitude,Low,Neutral,Thoughtful,Analytical,Ambivert
Balanced,Moderate,Comfortable,Reserved,Reflective,Ambivert
Balanced,High,Comfortable,Thoughtful,Consensus-driven,Ambivert
Prefers solitude,Low,Uncomfortable,Expressive,Consensus-driven,Ambivert
Balanced,Low,Neutral,Reserved,Impulsive,Ambivert
Prefers solitude,Low,Neutral,Expressive,Impulsive,Ambivert
Balanced,Low,Uncomfortable,Thoughtful,Consensus-driven,Ambivert
Balanced,High,Neutral,Direct,Reflective,Ambivert
Prefers groups,Low,Neutral,Expressive,Consensus-driven,Ambivert
Prefers groups,Low,Comfortable,Reserved,Reflective,Ambivert
Balanced,Low,Uncomfortable,Expressive,Impulsive,Ambivert
Prefers groups,Low,Neutral,Thoughtful,Analytical,Ambivert
Prefers solitude,Moderate,Neutral,Expressive,Consensus-driven,Ambivert
Balanced,Low,Comfortable,Thoughtful,Analytical,Ambivert
Balanced,Low,Comfortable,Direct,Reflective,Ambivert
Balanced,Moderate,Neutral,Expressive,Reflective,Ambivert
Prefers groups,Low,Comfortable,Expressive,Analytical,Ambivert
Prefers groups,High,Comfortable,Reserved,Reflective,Ambivert
Prefers solitude,High,Comfortable,Expressive,Consensus-driven,Ambivert
Prefers solitude,Moderate,Comfortable,Expressive,Impulsive,Ambivert
Prefers solitude,Moderate,Comfortable,Reserved,Consensus-driven,Ambivert
Prefers solitude,High,Uncomfortable,Reserved,Consensus-driven,Ambivert
Balanced,Low,Uncomfortable,Reserved,Impulsive,Ambivert
Prefers groups,High,Neutral,Direct,Reflective,Ambivert
Prefers groups,Moderate,Uncomfortable,Thoughtful,Analytical,Ambivert
Balanced,High,Neutral,Direct,Reflective,Ambivert
Prefers groups,High,Comfortable,Thoughtful,Impulsive,Ambivert
Balanced,Low,Comfortable,Thoughtful,Reflective,Ambivert
Prefers groups,Low,Uncomfortable,Reserved,Reflective,Ambivert
Prefers groups,High,Uncomfortable,Thoughtful,Analytical,Ambivert
Prefers solitude,Low,Comfortable,Expressive,Reflective,Ambivert
Balanced,High,Comfortable,Thoughtful,Consensus-driven,Ambivert
Prefers groups,Low,Neutral,Thoughtful,Analytical,Ambivert
Prefers groups,Moderate,Uncomfortable,Direct,Analytical,Ambivert
Prefers solitude,Moderate,Comfortable,Direct,Consensus-driven,Ambivert
Prefers groups,High,Comfortable,Thoughtful,Reflective,Ambivert
Prefers groups,High,Uncomfortable,Direct,Consensus-driven,Ambivert
Balanced,High,Uncomfortable,Thoughtful,Reflective,Ambivert
Balanced,High,Neutral,Thoughtful,Impulsive,Ambivert
Prefers solitude,High,Comfortable,Thoughtful,Impulsive,Ambivert
Prefers groups,High,Comfortable,Direct,Consensus-driven,Ambivert
Balanced,Moderate,Uncomfortable,Thoughtful,Consensus-driven,Ambivert
Prefers groups,Low,Comfortable,Reserved,Impulsive,Ambivert
Balanced,Low,Neutral,Expressive,Reflective,Ambivert
Balanced,Moderate,Comfortable,Direct,Analytical,Ambivert
Prefers groups,High,Uncomfortable,Expressive,Impulsive,Ambivert
Balanced,High,Comfortable,Expressive,Reflective,Ambivert
Prefers solitude,Low,Comfortable,Reserved,Analytical,Ambivert
Prefers groups,Moderate,Neutral,Direct,Consensus-driven,Ambivert
Prefers groups,High,Uncomfortable,Direct,Analytical,Ambivert
Prefers groups,High,Comfortable,Reserved,Impulsive,Ambivert
Balanced,Moderate,Uncomfortable,Direct,Analytical,Ambivert
Prefers groups,High,Neutral,Direct,Consensus-driven,Ambivert
Balanced,Moderate,Neutral,Reserved,Impulsive,Ambivert
Balanced,Moderate,Comfortable,Direct,Analytical,Ambivert
Balanced,Moderate,Comfortable,Direct,Impulsive,Extrovert
Balanced,Low,Comfortable,Direct,Analytical,Extrovert
Balanced,Low,Comfortable,Direct,Analytical,Extrovert
Prefers groups,Moderate,Comfortable,Direct,Analytical,Extrovert
Prefers groups,Moderate,Comfortable,Expressive,Analytical,Extrovert
Prefers groups,Moderate,Comfortable,Direct,Consensus-driven,Extrovert
Balanced,Moderate,Neutral,Direct,Analytical,Extrovert
Balanced,Low,Comfortable,Expressive,Impulsive,Extrovert
Prefers groups,Moderate,Neutral,Expressive,Consensus-driven,Extrovert
Prefers groups,Low,Comfortable,Direct,Consensus-driven,Extrovert
Prefers groups,Moderate,Comfortable,Expressive,Analytical,Extrovert
Prefers groups,Moderate,Neutral,Direct,Analytical,Extrovert
Balanced,Moderate,Neutral,Direct,Impulsive,Extrovert
Balanced,Moderate,Comfortable,Direct,Consensus-driven,Extrovert
Prefers groups,Low,Comfortable,Direct,Impulsive,Extrovert
Balanced,Low,Neutral,Direct,Analytical,Extrovert
Prefers groups,Moderate,Comfortable,Direct,Analytical,Extrovert
Balanced,Low,Comfortable,Direct,Consensus-driven,Extrovert
Balanced,Moderate,Comfortable,Direct,Consensus-driven,Extrovert
Prefers groups,Low,Comfortable,Expressive,Consensus-driven,Extrovert
Prefers groups,Moderate,Neutral,Expressive,Impulsive,Extrovert
Balanced,Moderate,Neutral,Direct,Consensus-driven,Extrovert
Balanced,Moderate,Comfortable,Direct,Consensus-driven,Extrovert
Balanced,Moderate,Neutral,Expressive,Consensus-driven,Extrovert
Balanced,Low,Neutral,Direct,Analytical,Extrovert
Prefers groups,Low,Comfortable,Expressive,Impulsive,Extrovert
Balanced,Moderate,Neutral,Expressive,Consensus-driven,Extrovert
Balanced,Low,Comfortable,Direct,Analytical,Extrovert
Prefers groups,Low,Neutral,Expressive,Analytical,Extrovert
Balanced,Low,Comfortable,Direct,Consensus-driven,Extrovert
Balanced,Moderate,Comfortable,Expressive,Analytical,Extrovert
Prefers groups,Low,Neutral,Direct,Impulsive,Extrovert
Prefers groups,Low,Comfortable,Direct,Impulsive,Extrovert
Balanced,Moderate,Neutral,Direct,Impulsive,Extrovert
Balanced,Low,Neutral,Direct,Impulsive,Extrovert
Prefers groups,Moderate,Neutral,Direct,Impulsive,Extrovert
Balanced,Moderate,Comfortable,Expressive,Consensus-driven,Extrovert
Prefers groups,Low,Neutral,Expressive,Analytical,Extrovert
Balanced,Moderate,Comfortable,Direct,Impulsive,Extrovert
Prefers groups,Low,Comfortable,Expressive,Consensus-driven,Extrovert
Prefers groups,Low,Neutral,Expressive,Consensus-driven,Extrovert
Balanced,Low,Neutral,Expressive,Analytical,Extrovert
Balanced,Moderate,Neutral,Direct,Impulsive,Extrovert
Prefers groups,Moderate,Comfortable,Direct,Impulsive,Extrovert
Prefers groups,Low,Comfortable,Direct,Impulsive,Extrovert
Prefers groups,Moderate,Neutral,Direct,Analytical,Extrovert
Balanced,Moderate,Neutral,Expressive,Impulsive,Extrovert
Balanced,Low,Comfortable,Expressive,Analytical,Extrovert
Balanced,Moderate,Comfortable,Direct,Impulsive,Extrovert
Prefers groups,Low,Comfortable,Expressive,Analytical,Extrovert
Balanced,Moderate,Comfortable,Expressive,Analytical,Extrovert
Balanced,Low,Comfortable,Direct,Impulsive,Extrovert
Balanced,Moderate,Neutral,Direct,Analytical,Extrovert
Balanced,Low,Comfortable,Direct,Analytical,Extrovert
Balanced,Low,Neutral,Expressive,Impulsive,Extrovert
Prefers groups,Low,Neutral,Expressive,Analytical,Extrovert
Balanced,Low,Comfortable,Expressive,Analytical,Extrovert
Prefers groups,Moderate,Neutral,Direct,Impulsive,Extrovert
Prefers groups,Moderate,Comfortable,Expressive,Analytical,Extrovert
Prefers groups,Low,Neutral,Direct,Consensus-driven,Extrovert
